resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
91287,"BATENTE PARA PORTA DE MADEIRA, PADRÃO POPULAR - FORNECIMENTO E MONTAGEM. AF_12/2019",Abstract Material,General,UN,218.04,218.04,218.04,218.04,1,BRL,218.04,1.0,1,1,Esquadrias - Portas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Portas,Esquadrias - Portas
90801,"BATENTE PARA PORTA DE MADEIRA, PADRÃO MÉDIO - FORNECIMENTO E MONTAGEM. AF_12/2019",Abstract Material,General,UN,301.48,301.48,301.48,301.48,1,BRL,301.48,1.0,1,1,Esquadrias - Portas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Portas,Esquadrias - Portas
44235,"BATENTE METALICO, TIPO CADEIRINHA, EM CHAPA DE ACO GALVANIZADO SEM PINTURA, E = 0,80 MM, PARA FIXAR PORTA",Material,Steel & Metal,M,0.0,0.0,0.0,0.0,0,BRL,0.0,1.0,1,1,Esquadrias - Portas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Portas,Esquadrias - Portas
20007,"GUARNICAO / ALIZAR / VISTA LISA EM MADEIRA MACICA, PARA PORTA, E = *1* CM, L = *5* CM, PINUS /EUCALIPTO / VIROLA OU EQUIVALENTE DA REGIAO",Material,General,M,4.77,4.77,4.77,4.77,1,BRL,5.55,1.163,1,1,Esquadrias - Portas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Portas,Esquadrias - Portas
44198,"JANELA MAXIM-AR, DE PVC, 60 X 60 CM (A X L), COM VIDRO, BATENTE / REQUADRO DE 4 A 14 CM, COM VIDRO, SEM GUARNICAO / ALIZAR",Material,General,UN,0.0,0.0,0.0,0.0,0,BRL,0.0,2.7778,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
44199,"JANELA DE CORRER, EM PVC, 3 FOLHAS MOVEIS COM VIDRO LISO, DIMENSOES 100 X 200 CM, PINTURA BRANCA, BATENTE / REQUADRO DE 7 A 14 CM, SEM GUARNICAO / ALIZAR",Material,General,UN,0.0,0.0,0.0,0.0,0,BRL,0.0,0.5,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
599,"JANELA FIXA, EM ALUMINIO PERFIL 20, 60 X 80 CM (A X L), BATENTE/REQUADRO DE 3 A 14 CM, COM VIDRO 4 MM, SEM GUARNICAO/ALIZAR, ACABAMENTO ALUM BRANCO OU BRILHANTE",Material,General,M2,1641.41,1641.41,1641.41,1641.41,1,BRL,1641.41,1.0,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
40660,"JANELA DE 6 FOLHAS DE CORRER EM MADEIRA IMBUIA/CEDRO ARANA/CEDRO ROSA OU EQUIVALENTE DA REGIAO, CAIXA DO BATENTE/MARCO *10* CM, 2 FOLHAS DE CORRER VENEZIANA, 2 FOLHAS FIXAS VENEZIANA E 2 FOLHAS DE CORRER PARA VIDRO, COM FERRAGENS (SEM VIDRO, SEM ACABAMENTO E SEM GUARNICAO/ALIZAR)",Material,General,M2,690.27,690.27,690.27,690.27,1,BRL,690.27,1.0,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
44962,"JANELA MADEIRA, 2F PANTOGRAFICA VENEZIANA E 2F VIDRO DE CORRER, *140 X 120* CM, BATENTE EM PINUS /EUCALIPTO /TAUARI /VIROLA OU EQUIVALENTE, COM GUARNICAO E FERRAGENS (SEM VIDRO, SEM PINTURA)",Material,General,UN,0.0,0.0,0.0,0.0,0,BRL,0.0,0.5952,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
3421,"JANELA EM MADEIRA CEDRINHO/ ANGELIM COMERCIAL/ CURUPIXA/ CUMARU OU EQUIVALENTE DA REGIAO, CAIXA DO BATENTE/MARCO *10* CM, 2 FOLHAS DE ABRIR TIPO VENEZIANA E 2 FOLHAS GUILHOTINA PARA VIDRO, COM GUARNICAO/ALIZAR, COM FERRAGENS (SEM VIDRO E SEM ACABAMENTO)",Material,General,M2,427.64,427.64,427.64,427.64,1,BRL,427.64,1.0,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
40659,"JANELA DE 6 FOLHAS DE CORRER EM MADEIRA CEDRINHO/ ANGELIM COMERCIAL/ CURUPIXA/ CUMARU OU EQUIVALENTE DA REGIAO, CAIXA DO BATENTE/MARCO *10* CM, 2 FOLHAS DE CORRER VENEZIANA, 2 FOLHAS FIXAS VENEZIANA E 2 FOLHAS DE CORRER PARA VIDRO, COM FERRAGENS (SEM VIDRO, SEM ACABAMENTO E SEM GUARNICAO/ALIZAR)",Material,General,M2,544.64,544.64,544.64,544.64,1,BRL,544.64,1.0,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
3423,"JANELA MAXIM-AR EM MADEIRA CEDRINHO/ ANGELIM COMERCIAL/ CURUPIXA/ CUMARU OU EQUIVALENTE DA REGIAO, CAIXA DO BATENTE/MARCO *10* CM, 1 FOLHA PARA VIDRO, COM GUARNICAO/ALIZAR, COM FERRAGENS, (SEM VIDRO E SEM ACABAMENTO)",Material,General,M2,603.08,603.08,603.08,603.08,1,BRL,603.08,1.0,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
11190,"JANELA BASCULANTE, ACO, COM BATENTE/REQUADRO, 60 X 60 CM (SEM VIDROS)",Material,General,UN,229.0,229.0,229.0,229.0,1,BRL,636.16,2.778,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
34797,"JANELA MAXIM-AR, ACO GALVANIZADO PINT. ANTICORROSIVA, COM BATENTE/REQUADRO DE 6 A 14 CM, SEM VIDRO, COM GRADE, 1 FL, 60 X 80 CM (A X L)",Material,General,UN,498.8,498.8,498.8,498.8,1,BRL,1039.17,2.0833,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
11199,"JANELA DE CORRER, ACO, BATENTE/REQUADRO DE 6 A 14 CM, COM DIVISAO HORIZ, PINT ANTICORROSIVA, SEM VIDRO, BANDEIRA COM BASCULA, 4 FLS, 120 X 150 CM (A X L)",Material,General,UN,1264.72,1264.72,1264.72,1264.72,1,BRL,702.93,0.5558,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
43684,"JANELA VENEZIANA DE CORRER, DIMENSOES DE 1,00 M X 1,20 M, EM ACO GALVANIZADO COM PINTURA ELETROSTATICA A PO NA COR BRANCA, COM REQUADRO DE 11 CM (+/- 1 CM), 3 FOLHAS E VIDRO INCOLOR LISO",Material,General,UN,0.0,0.0,0.0,0.0,0,BRL,0.0,0.833,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
45184,"JANELA MAXIM-AR, L = 0,80 M, EM ALUMINIO BRANCO, COM BANDEIRA FIXA INFERIOR E VIDRO MINI BOREAL",Material,General,M2,0.0,0.0,0.0,0.0,0,BRL,0.0,1.25,1,1,Esquadrias - Janelas,SINAPI Relatorio Analitico de Composicoes (CAIXA/IBGE),Esquadrias - Janelas,Esquadrias - Janelas
